Sample Name	Sex	Population code	Population name	Superpopulation code	Superpopulation name
GM18501	male	YRI	Yoruba	AFR	African Ancestry
GM18519	male	YRI	Yoruba	AFR	African Ancestry
GM18856	male	YRI	Yoruba	AFR	African Ancestry
GM18861	female	YRI	Yoruba	AFR	African Ancestry
GM18864	female	YRI	Yoruba	AFR	African Ancestry
GM18865	male	YRI	Yoruba	AFR	African Ancestry
GM18871	male	YRI	Yoruba	AFR	African Ancestry
GM18876	female	YRI	Yoruba	AFR	African Ancestry
GM18924	female	YRI	Yoruba	AFR	African Ancestry
GM19035	male	LWK	Luhya	AFR	African Ancestry
GM19041	male	LWK	Luhya	AFR	African Ancestry
GM19308	male	LWK	Luhya	AFR	African Ancestry
GM19312	male	LWK	Luhya	AFR	African Ancestry
GM19462	female	LWK	Luhya	AFR	African Ancestry
GM19471	female	LWK	Luhya	AFR	African Ancestry
GM19473	female	LWK	Luhya	AFR	African Ancestry
HG00105	male	GBR	British	EUR	European Ancestry
HG00110	female	GBR	British	EUR	European Ancestry
HG00121	female	GBR	British	EUR	European Ancestry
HG00127	female	GBR	British	EUR	European Ancestry
HG00136	male	GBR	British	EUR	European Ancestry
HG00151	male	GBR	British	EUR	European Ancestry
HG00331	female	FIN	Finnish	EUR	European Ancestry
HG00410	female	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00473	female	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00525	female	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00599	female	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00631	male	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00675	female	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00705	female	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00706	male	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG00728	male	CHS	Southern Han Chinese	EAS	East Asian Ancestry
HG01046	female	CDX	Dai Chinese	EAS	East Asian Ancestry
HG01122	female	CLM	Colombian	AMR	American Ancestry
HG01281	female	CLM	Colombian	AMR	American Ancestry
HG01312	female	PUR	Puerto Rican	AMR	American Ancestry
HG01363	female	CLM	Colombian	AMR	American Ancestry
HG01369	female	CLM	Colombian	AMR	American Ancestry
HG01372	female	CLM	Colombian	AMR	American Ancestry
HG01395	male	PUR	Puerto Rican	AMR	American Ancestry
